text,tag
"giphyupload, dance, funny, christmas, santa, holidays, chicken, twerk, butt, merry, bum, happyholidays, superstretchychickenlegs, sscl, bluechicken",0
#soulmate #You Are My Soul #love,0
#soulmate #You Are My Soul #love,0
#opihomm #funny #Funny Memes,0
La pôv chochotte est choqué ! 😂🤣,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
#wweraw    LLMMAAOOOO  THAT WAS STOOPID...,0
Available on Giphy,1
Available on Giphy,1
"+++  Bu flood tamamen şahsi görüşlerim üzerinden yazılmıştır. Ve evet, yaşasın soft romantik sevişmeler",0
"+++  Bu flood tamamen şahsi görüşlerim üzerinden yazılmıştır. Ve evet, yaşasın soft romantik sevişmeler",0
Yeah but I'm not happy about it,1
Yeah but I'm not happy about it,1
#good #morning qua [PERSON],0
"How mr.Mejorar la Raza  Aka improve the race be when their darker child brings a black person to the house you know you telling the darker child they not good enough And if everybody is told this, then this would explain y their community not dating them",0
"Lying Ted is lying once again by spreading misinformation, disinformation, nonsense, lies &amp; more BS as usual.",1
"Lying Ted is lying once again by spreading misinformation, disinformation, nonsense, lies &amp; more BS as usual.",1
Day 12: this always makes me smile with joy 💛 takes me back to my childhood 🤩#JoyFE,0
Bless your little heart. You have said nothing of your own but repeating what you hear from others.,1
Bless your little heart. You have said nothing of your own but repeating what you hear from others.,1
A ma sei streghetta,0
A ma sei streghetta,0
Well this should be interesting. #F1 #BrazilGP #MercedesAMG,1
Well this should be interesting. #F1 #BrazilGP #MercedesAMG,1
Congratulations,0
"Funny how medications, procedures men have to undergo are about 100% covered by insurance, unlike those exclusive to women. Actually, not funny.",1
"Funny how medications, procedures men have to undergo are about 100% covered by insurance, unlike those exclusive to women. Actually, not funny.",1
........,0
"🕰️ Woof, your reminder is here",1
"🕰️ Woof, your reminder is here",1
#blegh #hahaha #kys [PERSON] ಮೂಲಕ,0
"giphyupload, dance, music, funny, dancing, mood, twerk, tv show, bedroom, canal, sasha, canal plus, nicôle lecky, sasha clay",0
"giphyupload, love, dog, dogs, thanksgiving, chippythedog, happy thanksgiving, chippy",0
"On today's weather report, it's 82°F outside, tomorrow morning we will experience a few clouds in San Antonio. It's wonderful, we recomend bringing your sunscreen.",1
"On today's weather report, it's 82°F outside, tomorrow morning we will experience a few clouds in San Antonio. It's wonderful, we recomend bringing your sunscreen.",1
"If you’re gonna do it, do it right 😉",0
"giphyupload, funny, dog, no, work, puppy, good morning, monday, lazy, wake up, chihuahua, early, monday mood, complaining, small dog, get out of bed, depressed citizens, dcnft, dont want to wake up, monday sickness",0
"giphyupload, funny, dog, no, work, puppy, good morning, monday, lazy, wake up, chihuahua, early, monday mood, complaining, small dog, get out of bed, depressed citizens, dcnft, dont want to wake up, monday sickness",1
"giphyupload, funny, dog, no, work, puppy, good morning, monday, lazy, wake up, chihuahua, early, monday mood, complaining, small dog, get out of bed, depressed citizens, dcnft, dont want to wake up, monday sickness",1
"giphyupload, funny, dog, no, work, puppy, good morning, monday, lazy, wake up, chihuahua, early, monday mood, complaining, small dog, get out of bed, depressed citizens, dcnft, dont want to wake up, monday sickness",0
#Vegeta #rage #ssj,1
#Vegeta #rage #ssj,1
"Well, looks like it's 100°F outside, in an hour the weather will be a few clouds in Nashville. It's a mild day, carry your swimming trunks.",1
"Well, looks like it's 100°F outside, in an hour the weather will be a few clouds in Nashville. It's a mild day, carry your swimming trunks.",1
Do san mia wieda!,0
Do san mia wieda!,0
Do san mia wieda!,0
AND EVENTUALLY..........,1
AND EVENTUALLY..........,1
Wahnsinnig heiß 😍😍😍😍😍🔥🔥🔥🔥🔥🔥🤤🤤🤤🤤🤤🤤🤤,0
"New flower GIF giphyupload, love, happy, dance, art, summer, illustration, loop, flower, nature, green, color, plants, draw, paper, pencil",0
"New flower GIF giphyupload, love, happy, dance, art, summer, illustration, loop, flower, nature, green, color, plants, draw, paper, pencil",0
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
"Oh! Owie! Mommy, mommy, the mean old Elon hurt my itty bitty feewings.",1
